Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
459,38.756846054122875,42.85917487154937
460,38.767641836112865,42.88024909699391
461,38.83817866034807,42.92209480452438
462,38.8680757125108,43.07317100712116
463,38.94967529128834,43.14856680484099
464,39.09863744158212,43.218062045847816
465,39.16768370210235,43.3363329388424
466,39.17847948409234,43.425343583492605
467,39.18927526608233,43.441365676362125
468,39.20512051171587,43.51744785609068
469,39.26911401062148,43.563327728456805
470,39.27990979261147,43.65866868619378
471,39.43452180994323,43.68302459248676
472,39.44531759193322,43.69600409090136
473,39.54694672286682,43.71202618377088
474,39.55774250485682,43.75029523046156
475,39.58255290001087,43.86329401955581
476,39.593348682000865,43.91614513611721
477,39.604144463990856,43.95725416693434
478,39.69256946789361,44.03756465757996
479,39.755945468026404,44.15159260253592
480,39.78684793246944,44.228312973464014
481,39.79764371445943,44.244335066333534
482,39.832810032887934,44.28860350490095
483,39.84360581487793,44.298476092418035
484,39.962233116084505,44.36857457323576
485,40.091203461666055,44.40485557807945
486,40.13378526385588,44.437843762666475
487,40.247533657387876,44.4698604809307
488,40.275459803169525,44.48588257380022
489,40.286255585159516,44.56127837152004
490,40.374987819922225,44.57730046438956
491,40.385783601912216,44.59332255725908
492,40.527461161685686,44.62637045950986
493,40.53825694367568,44.64239255237938
494,40.66200689361468,44.73987276462281
495,40.764502350381555,44.77355476879511
496,40.831813546277296,44.98131773517336
497,40.84260932826729,45.053196978466374
498,40.85340511025728,45.11726618098541
499,40.86420089224727,45.13328827385493
500,40.9191622783308,45.166276458441956
501,41.03160937607986,45.25525673913975
502,41.04240515806985,45.386467706337505
503,41.08658353368607,45.419515608588284
504,41.108759097561844,45.4466462468494
505,41.119554879551835,45.616850206065585
506,41.130350661541826,45.73467685915335
507,41.149396667149816,45.75069895202287
508,41.169943963158985,45.86013585606795
509,41.25229470675032,45.96156256807096
510,41.28063574194222,46.106576791990726
511,41.39488812954791,46.122598884860246
512,41.4397366193651,46.138620977729765
513,41.45053240135509,46.154643070599285
514,41.492384153164075,46.299758103466395
515,41.541766628111326,46.4073400762183
516,41.564579012923296,46.46141442161784
517,41.59394510154118,46.64726508432241
518,41.64613461657269,46.66328717719193
519,41.758484970162215,46.67930927006145
520,41.769280752152206,46.69533136293097
521,41.7800765341422,46.71135345580049
522,41.790872316132194,46.78145193661822
523,41.85460855413865,46.79747402948774
524,41.92473382448676,46.83239753026991
525,41.9963582328338,46.84841962313943
526,42.0071540148238,46.86444171600895
527,42.05262731995246,46.91440377810977
528,42.09282901259388,46.988175949555476
529,42.157206935755156,47.10748063966982
530,42.17607541042695,47.22485538840145
531,42.18687119241694,47.39804679214471
532,42.226672498146975,47.54311726001346
533,42.2921029807802,47.61760555372371
534,42.3028987627702,47.6871592884538
535,42.373937080617495,47.80555825520437
536,42.38473286260749,47.84701386732097
537,42.51931385796182,47.893129249999696
538,42.53010963995182,48.02386359467036
539,42.58312453368921,48.03988568753988
